pos,empresa,funcionarios,Ramo
1,Interbank,6655,financial services & insurance
2,Banco Galicia,6257,financial services & insurance
3,Banco Guayaquil,2831,financial services & insurance
4,Banco Mercantil Santa Cruz,2403,financial services & insurance
5,Grupo Saesa,1448,manufacturing & production
6,Seguros G&T,1237,financial services & insurance
7,GRUPO RUBA,1095,construction & infrastructure
8,Banco Itaú,1067,financial services & insurance
9,Aseguradora Solidaria de Colombia Ltda.,964,financial services & insurance
10,Empresas Lipigas,866,manufacturing & production
11,Casa Andina,841,hospitality
12,RADIX DES.SOFTWARE ,623,information technology
13,MAGAZINE LUIZA ,16255,retail
14,Grupo S-Mart,16119,retail
15,Bci,8866,financial services & insurance
16,Cervecería y Maltería Quilmes,5700,manufacturing & production
17,cementos progreso,1929,manufacturing & production
18,Fundación Universitaria del Área Andina -Areandina-,1696,education & training
19,IEnova,1413,manufacturing & production
20,Financiera oh!,1259,financial services & insurance
21,SUPERA FARMA LABORATORIOS,766,biotechnology & pharmaceuticals
22,Banco Fortaleza,672,financial services & insurance
23,ADM Paraguay,603,agriculture forestry and fishing
24,Leterago del Ecuador,575,health care
25,Banco de Occidente,7081,financial services & insurance
26,NGR,4268,manufacturing & production
27,Grupo Security,3094,financial services & insurance
28,Banco Ciudad,2848,financial services & insurance
29,GCC,1471,manufacturing & production
30,BANCO GANADERO,964,financial services & insurance
31,Naturisa,954,manufacturing & production
32,Grupo de Empresas Chilquinta,917,manufacturing & production
33,FUNDIMISA - FUNDICAO E USINAGEM LTDA.,734,manufacturing & production
34,FinsocialS.,557,financial services & insurance
35,mixto listo,518,manufacturing & production
36,LABORATORIO SABIN DE ANALISES CLINICAS LTDA,3320,health care
37,Virú,1837,manufacturing & production
38,Fundación Universidad del Norte -Uninorte-,1733,education & training
39,Parque del Recuerdo,1340,construction & infrastructure
40,grupo universal,1194,financial services & insurance
41,Ragasa,1168,manufacturing & production
42,AFC Chile,765,financial services & insurance
43,Universidad Siglo 21,727,education & training
44,Sociedad Portuaria Regional de Cartagena,541,transportation
45,grupo financiero bantrab,4375,financial services & insurance
46,Conecta Retail,3015,retail
47,AFP Habitat,1680,financial services & insurance
48,Grupo Urrea Herramientas,1125,manufacturing & production
49,Banco Industrial (Grupo Bind),793,financial services & insurance
50,Pandero,741,financial services & insurance